outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
death,10 - OCT,202143,all_ages_adj,Pfizer,335,63026340,2054,48532436.95,0.531523804,4.232221024,7.962429887,0.433208811,6.301405512,14.54588493,1
death,10 - OCT,202143,all_ages_adj,all_types,727,113261508,2054,48532436.95,0.64187738,4.232221024,6.593503925,0.455656623,6.301405512,13.82928546,1
death,11 - NOV,202144,all_ages_adj,Janssen,72,8667745,2187,47770061.55,0.830665877,4.578181248,5.511459392,0.862256557,6.882448207,7.981903008,1
death,11 - NOV,202144,all_ages_adj,Moderna,336,41655293,2187,47770061.55,0.806620181,4.578181248,5.675758372,0.453602352,6.882448207,15.17286711,1
death,11 - NOV,202144,all_ages_adj,Pfizer,327,63550823,2187,47770061.55,0.514548805,4.578181248,8.897467466,0.42354535,6.882448207,16.24961344,1
death,11 - NOV,202144,all_ages_adj,all_types,736,114037291,2187,47770061.55,0.645402915,4.578181248,7.093524283,0.461489254,6.882448207,14.91356116,1
death,11 - NOV,202145,all_ages_adj,Janssen,71,8763852,2310,47027876.1,0.810146041,4.91198028,6.063080028,0.875609836,7.471984836,8.533463794,1
death,11 - NOV,202145,all_ages_adj,Moderna,372,41875499,2310,47027876.1,0.888347623,4.91198028,5.529344766,0.502161696,7.471984836,14.87963916,1
death,11 - NOV,202145,all_ages_adj,Pfizer,329,64008225,2310,47027876.1,0.513996443,4.91198028,9.556447992,0.421922598,7.471984836,17.70937339,1
death,11 - NOV,202145,all_ages_adj,all_types,774,114823477,2310,47027876.1,0.674078177,4.91198028,7.286959363,0.484333139,7.471984836,15.42736647,1
death,11 - NOV,202146,all_ages_adj,Janssen,102,8868249,2518,46224095.45,1.150170682,5.44737539,4.736145231,1.290836393,8.39450078,6.503148521,1
death,11 - NOV,202146,all_ages_adj,Moderna,364,42091969,2518,46224095.45,0.86477304,5.44737539,6.299196595,0.486546779,8.39450078,17.25322443,1
death,11 - NOV,202146,all_ages_adj,Pfizer,353,64413282,2518,46224095.45,0.54802362,5.44737539,9.940037597,0.454758034,8.39450078,18.45926877,1
death,11 - NOV,202146,all_ages_adj,all_types,819,115563367,2518,46224095.45,0.708702092,5.44737539,7.686410762,0.509388337,8.39450078,16.47957003,1
death,11 - NOV,202147,all_ages_adj,Janssen,79,8966466,2286,45500800.45,0.88106061,5.024087439,5.70231762,0.970006307,7.770561558,8.010836119,1
death,11 - NOV,202147,all_ages_adj,Moderna,376,42278767,2286,45500800.45,0.889335302,5.024087439,5.649261229,0.502851659,7.770561558,15.45298981,1
death,11 - NOV,202147,all_ages_adj,Pfizer,381,64764825,2286,45500800.45,0.588282297,5.024087439,8.540266241,0.478999065,7.770561558,16.22249839,1
death,11 - NOV,202147,all_ages_adj,all_types,836,116212832,2286,45500800.45,0.719369785,5.024087439,6.984012314,0.510981089,7.770561558,15.20714117,1
death,12 - DEC,202148,all_ages_adj,Janssen,95,9058274,2597,44732580.45,1.048764919,5.805611869,5.535665584,1.224321589,9.197037038,7.511945492,1
death,12 - DEC,202148,all_ages_adj,Moderna,304,42456795,2597,44732580.45,0.716022017,5.805611869,8.108147137,0.400588856,9.197037038,22.95879406,1
death,12 - DEC,202148,all_ages_adj,Pfizer,360,65103482,2597,44732580.45,0.552965815,5.805611869,10.499043,0.455216274,9.197037038,20.20366484,1
death,12 - DEC,202148,all_ages_adj,all_types,760,116835700,2597,44732580.45,0.65048611,5.805611869,8.925035877,0.465690889,9.197037038,19.74923119,1
