,Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,week,uid
10,2022-02-10,6,OK,6827210,321300,2800960,3704950,0,172536,205316,227215,1074930,5643518,5525253,5202413,1530581,149614,2286119,3206438,1347,142622,166162,173141,240986,5624553,2750511,69.5,2681386,80.6,2511636,83.6,671903,95.0,2195436,55.5,2146592,64.6,2007801,66.8,541647,85.3,141033,835602,1218557,244,141015,835578,1169763,236,140940,835312,1031344,205,20581,274777,246237,52,781502.0,35.6,781465.0,36.4,766448.0,38.2,542518.0,50.7,329448.0,60.8,360908.0,409525.0,11033.0,36.0,2750245.0,74.3,2195387.0,59.3,5643214.0,152460.0,184448.0,835584.0,1218541.0,141018.0,244.0,06,OK202206
11,2022-02-10,6,CA,84204425,3669100,29754620,50780705,0,213110,250264,275020,1442320,70204178,67854584,62863902,14565886,2250630,26381669,41556823,15056,177677,201670,205320,249496,70651208,32025272,81.1,30687493,91.2,28251444,92.3,5954887,95.0,27502666,69.6,26490985,78.7,24373358,79.6,5165039,88.5,2059304,9512328,15926269,4765,2058702,9511564,14916013,4706,2051478,9485726,12831755,4399,200489,2611420,2351681,1449,12850826.0,46.7,12849568.0,48.5,12388651.0,50.8,7030268.0,62.2,3607068.0,69.8,5639510.0,7008039.0,202779.0,498.0,32013743.0,86.2,27499643.0,74.1,70189958.0,189046.0,226792.0,9512022.0,15923923.0,2058934.0,4764.0,06,CA202206
12,2022-02-10,6,NC,20393500,913900,7564960,11914640,0,194444,226960,249085,1164620,15894297,15444992,14513259,4222250,504588,5926334,9462452,923,151546,171888,177264,241121,15840793,8556567,81.6,8296969,92.3,7793159,95.0,2149759,95.0,6171328,58.8,5989749,66.7,5604032,68.4,1496720,85.5,475954,2144986,3550242,146,475928,2144875,3368801,145,474503,2141871,2987516,142,54236,719349,723070,65,1514323.0,24.5,1514221.0,25.3,1473635.0,26.3,1002331.0,33.4,572475.0,38.2,666795.0,820984.0,26526.0,18.0,8554902.0,86.6,6170895.0,62.5,15892238.0,160880.0,206447.0,2144943.0,3549870.0,475937.0,145.0,06,NC202206
13,2022-02-10,6,AR,5667120,250400,2302360,3114360,0,187790,221610,244520,1081760,4033703,3936288,3689833,1144466,120478,1727483,2181888,3854,133664,153927,159206,218459,4084485,1970305,65.3,1910621,74.7,1779447,76.8,493977,94.3,1599938,53.0,1561906,61.1,1456011,62.8,415354,79.3,111242,653385,834133,1178,111114,653364,796548,880,110696,652224,692250,841,15701,233254,165929,470,590714.0,36.9,590622.0,37.8,578463.0,39.7,414931.0,51.4,255172.0,61.4,290228.0,290770.0,9288.0,428.0,1968581.0,69.6,1599700.0,56.5,4031850.0,142501.0,200298.0,653372.0,834029.0,111122.0,1177.0,06,AR202206
14,2022-02-10,6,NH,3192030,172300,1123040,1896690,0,234758,266320,289013,1257380,2592297,2528010,2369145,692868,113420,967244,1511540,93,190651,210919,214507,272929,2582789,1450411,95.0,1410717,95.0,1333901,95.0,412904,95.0,941572,69.2,917016,76.5,861469,78.0,236637,93.2,83811,339810,517854,97,83784,339703,493432,97,83753,339546,438079,91,17364,97835,121397,41,189396.0,20.1,189379.0,20.7,182667.0,21.2,115179.0,23.3,55633.0,23.5,87316.0,97657.0,4411.0,12.0,1449444.0,95.0,941351.0,72.6,2591079.0,199915.0,246282.0,339705.0,517764.0,83785.0,97.0,06,NH202206
15,2022-02-10,6,NM,4166985,186000,1608940,2372045,0,198728,233127,257064,1103530,3697352,3581196,3331484,955152,115613,1505597,2068055,8087,176331,200354,205521,252949,3842768,1784890,85.1,1711318,95.0,1578289,95.0,417284,95.0,1443450,68.8,1393822,78.0,1284407,79.2,347954,92.1,107622,550020,783689,2119,107604,549977,734125,2116,107464,549587,625272,2084,21199,163143,162553,1059,675061.0,46.8,674957.0,48.4,650132.0,50.6,414878.0,60.8,232452.0,66.8,284854.0,380133.0,9934.0,140.0,1784679.0,90.3,1443397.0,73.1,3697120.0,187116.0,210897.0,550004.0,783662.0,107613.0,2118.0,06,NM202206
16,2022-02-10,6,VI,145360,2800,37740,104820,0,136758,162550,178341,709835,138319,136387,129883,39001,2236,41392,94691,0,130134,152516,159352,190453,136013,66710,62.8,65558,73.3,62141,76.2,17870,87.3,55585,52.3,54784,61.3,51935,63.7,15154,74.0,2032,15536,38012,5,2029,15528,37222,5,2025,15508,34397,5,556,6013,8581,4,15345.0,27.6,15345.0,28.0,15111.0,29.1,11645.0,37.1,6659.0,43.9,5309.0,9895.0,139.0,2.0,66645.0,66.9,55560.0,55.8,138229.0,138751.0,145909.0,15529.0,37997.0,2029.0,5.0,06,VI202206
17,2022-02-10,6,SD,1731945,88600,686280,957065,0,195775,234649,259445,1140410,1338962,1297423,1217450,385274,40135,524364,774330,133,151353,175779,182374,253685,1355517,657844,74.4,634059,85.9,591326,88.6,172928,95.0,524860,59.3,507423,68.7,474585,71.1,140261,92.4,38243,193290,293293,34,38238,193288,275863,34,38212,193220,243119,34,4974,69808,65458,21,206984.0,39.4,206959.0,40.8,202627.0,42.7,143973.0,54.4,87760.0,62.6,94214.0,110256.0,2505.0,9.0,657794.0,79.9,524850.0,63.7,1338908.0,162589.0,210317.0,193288.0,293289.0,38239.0,34.0,06,SD202206
18,2022-02-10,6,DD2,6618210,210000,2152640,4255570,0,0,0,0,0,7171962,7081696,6715041,568199,317266,2383580,4448611,22505,0,0,0,0,7171962,4046484,0.0,3985608,0.0,3782888,0.0,351177,0.0,2955756,0.0,2926510,0.0,2772218,0.0,175362,0.0,283676,916798,1754992,290,283648,916773,1725799,290,283454,916581,1571899,284,9480,60823,105059,0,1483.0,0.1,1483.0,0.1,1479.0,0.1,193.0,0.0,37.0,0.0,522.0,951.0,10.0,0.0,4046286.0,0.0,2955691.0,0.0,7171711.0,0.0,0.0,916779.0,1754966.0,283656.0,290.0,06,DD2202206
19,2022-02-10,6,IH2,2744095,104400,1228380,1411315,0,131749,0,0,0,2142612,2071979,1900064,382084,39355,1010856,1092233,168,102871,0,0,0,2142612,1069338,51.3,1027162,0.0,936950,0.0,175851,0.0,846348,40.6,817983,0.0,745113,0.0,137886,0.0,37534,386944,421864,6,37510,386859,393608,6,37466,386605,321036,6,3437,77785,56663,1,242346.0,28.6,242302.0,29.6,233807.0,31.4,143555.0,40.0,65514.0,47.5,117969.0,122582.0,1677.0,118.0,1068986.0,0.0,846199.0,0.0,2142082.0,0.0,0.0,386873.0,421809.0,37511.0,6.0,06,IH2202206
