Label (Grouping),Alabama Total Estimate,Alaska Total Estimate,Arizona Total Estimate,Arkansas Total Estimate,California Total Estimate,Colorado Total Estimate,Connecticut Total Estimate,Delaware Total Estimate,District of Columbia Total Estimate,Florida Total Estimate,Georgia Total Estimate,Hawaii Total Estimate,Idaho Total Estimate,Illinois Total Estimate,Indiana Total Estimate,Iowa Total Estimate,Kansas Total Estimate,Kentucky Total Estimate,Louisiana Total Estimate,Maine Total Estimate,Maryland Total Estimate,Massachusetts Total Estimate,Michigan Total Estimate,Minnesota Total Estimate,Mississippi Total Estimate,Missouri Total Estimate,Montana Total Estimate,Nebraska Total Estimate,Nevada Total Estimate,New Hampshire Total Estimate,New Jersey Total Estimate,New Mexico Total Estimate,New York Total Estimate,North Carolina Total Estimate,North Dakota Total Estimate,Ohio Total Estimate,Oklahoma Total Estimate,Oregon Total Estimate,Pennsylvania Total Estimate,Rhode Island Total Estimate,South Carolina Total Estimate,South Dakota Total Estimate,Tennessee Total Estimate,Texas Total Estimate,Utah Total Estimate,Vermont Total Estimate,Virginia Total Estimate,Washington Total Estimate,West Virginia Total Estimate,Wisconsin Total Estimate,Wyoming Total Estimate,Puerto Rico Total Estimate
Associate's degree,301914.0,43394.0,431854.0,151738.0,2118792.0,334961.0,190700.0,56885.0,16922.0,1538727.0,568130.0,106096.0,124584.0,710058.0,397627.0,251578.0,173251.0,260188.0,202310.0,99008.0,287293.0,360810.0,648794.0,442578.0,207448.0,333721.0,69400.0,141189.0,187469.0,96658.0,398984.0,129531.0,1204588.0,727882.0,70716.0,702601.0,207896.0,269102.0,775694.0,64204.0,352549.0,69831.0,348886.0,1402600.0,184777.0,38706.0,468107.0,527524.0,101267.0,438381.0,44034.0,258905.0
Bachelor's degree,547975.0,89583.0,931038.0,307185.0,5889724.0,1057825.0,549166.0,134287.0,129825.0,2982643.0,1410395.0,219979.0,220189.0,1886240.0,777771.0,420199.0,414851.0,453040.0,503947.0,205722.0,911781.0,1197208.0,1252685.0,942830.0,270712.0,775808.0,171309.0,277159.0,355837.0,224636.0,1555781.0,221281.0,2898440.0,1471420.0,108527.0,1464945.0,447888.0,627911.0,1761627.0,156087.0,656496.0,121231.0,845100.0,3750797.0,448109.0,101015.0,1312800.0,1204728.0,161686.0,829878.0,73183.0,443589.0
Graduate or professional degree,337382.0,56574.0,561120.0,168182.0,3538760.0,637777.0,445382.0,93912.0,171604.0,1770994.0,891173.0,115230.0,116466.0,1222732.0,435055.0,202054.0,237638.0,312883.0,280328.0,123277.0,798449.0,984535.0,818110.0,490396.0,171039.0,495473.0,77839.0,145428.0,193082.0,143601.0,995984.0,173317.0,2267778.0,849765.0,44870.0,891640.0,238621.0,404405.0,1155775.0,104188.0,398063.0,53553.0,503124.0,2025736.0,216552.0,71257.0,1012270.0,750904.0,108020.0,428501.0,40374.0,182991.0
High school graduate or higher,2926985.0,452968.0,4331542.0,1781463.0,22636359.0,3672723.0,2264581.0,620789.0,463977.0,13689867.0,6224197.0,920690.0,1071091.0,7812057.0,4033932.0,1966523.0,1760324.0,2657789.0,2699357.0,923838.0,3781706.0,4429635.0,6298340.0,3601522.0,1688747.0,3814347.0,699268.0,1170498.0,1855551.0,914078.0,5591610.0,1224660.0,11970504.0,6368153.0,471356.0,7308958.0,2315978.0,2729719.0,8216204.0,666745.0,3147526.0,541735.0,4131145.0,15890162.0,1778532.0,414700.0,5288045.0,4850250.0,1116281.0,3724423.0,368597.0,1813327.0
Bachelor's degree or higher,885357.0,146157.0,1492158.0,475367.0,9428484.0,1695602.0,994548.0,228199.0,301429.0,4753637.0,2301568.0,335209.0,336655.0,3108972.0,1212826.0,622253.0,652489.0,765923.0,784275.0,328999.0,1710230.0,2181743.0,2070795.0,1433226.0,441751.0,1271281.0,249148.0,422587.0,548919.0,368237.0,2551765.0,394598.0,5166218.0,2321185.0,153397.0,2356585.0,686509.0,1032316.0,2917402.0,260275.0,1054559.0,174784.0,1348224.0,5776533.0,664661.0,172272.0,2325070.0,1955632.0,269706.0,1258379.0,113557.0,626580.0
Population 25 to 34 years,637403.0,117978.0,1001594.0,386602.0,6036052.0,907627.0,444509.0,128412.0,164375.0,2768060.0,1458596.0,195781.0,234800.0,1748323.0,886319.0,400299.0,377373.0,576692.0,643422.0,164231.0,820575.0,992607.0,1302017.0,765578.0,368227.0,823722.0,133119.0,257931.0,449055.0,170730.0,1148458.0,278627.0,2865401.0,1401663.0,117574.0,1544717.0,536999.0,594585.0,1704848.0,148180.0,670757.0,114420.0,934878.0,4242661.0,472153.0,76649.0,1174655.0,1164010.0,211267.0,737315.0,76649.0,385530.0
High school graduate or higher,569279.0,109056.0,888213.0,351886.0,5453658.0,851327.0,415168.0,117104.0,156272.0,2509435.0,1321420.0,188265.0,217753.0,1631773.0,802602.0,377629.0,351044.0,529287.0,565119.0,155794.0,764880.0,936881.0,1208653.0,724692.0,325988.0,767318.0,125260.0,241022.0,398176.0,162068.0,1079723.0,248343.0,2643911.0,1269040.0,111282.0,1429808.0,482723.0,551789.0,1586612.0,137462.0,604820.0,105662.0,862842.0,3800840.0,444995.0,71842.0,1096679.0,1081355.0,194042.0,697284.0,71890.0,356754.0
Bachelor's degree or higher,174995.0,30578.0,282025.0,99160.0,2308396.0,403405.0,197508.0,42172.0,120636.0,859084.0,505835.0,65214.0,64553.0,752977.0,273104.0,144346.0,140653.0,173333.0,181788.0,58383.0,355153.0,538922.0,442139.0,330070.0,83989.0,292534.0,49952.0,101570.0,108693.0,68972.0,549095.0,67194.0,1351584.0,498352.0,39309.0,528379.0,138253.0,208425.0,681890.0,63074.0,213392.0,40071.0,313856.0,1390246.0,165186.0,32330.0,497806.0,462884.0,51789.0,274024.0,20267.0,126465.0
Population 35 to 44 years,605739.0,93035.0,898533.0,377184.0,5298911.0,805306.0,426967.0,113704.0,108905.0,2612250.0,1401934.0,185133.0,225804.0,1641179.0,825768.0,392097.0,362905.0,556896.0,606785.0,153615.0,786924.0,849654.0,1174029.0,730399.0,379610.0,756709.0,132472.0,243052.0,410321.0,158985.0,1144104.0,261847.0,2430106.0,1312661.0,96037.0,1404148.0,501516.0,578846.0,1520179.0,124433.0,628604.0,106071.0,849159.0,3959419.0,443692.0,70815.0,1128152.0,1032245.0,219899.0,714436.0,73671.0,395192.0
High school graduate or higher,532109.0,88465.0,778048.0,336879.0,4478016.0,734977.0,390802.0,99617.0,101314.0,2321693.0,1226397.0,175421.0,206776.0,1480378.0,739889.0,362058.0,327325.0,499412.0,528918.0,147861.0,706498.0,789868.0,1072644.0,687235.0,332282.0,695932.0,125917.0,224543.0,346105.0,150149.0,1038627.0,222689.0,2172693.0,1157415.0,91548.0,1290580.0,440973.0,521837.0,1401375.0,114593.0,561219.0,98890.0,759559.0,3367277.0,416127.0,66526.0,1030247.0,936784.0,200719.0,663433.0,69881.0,348249.0
Bachelor's degree or higher,179546.0,32567.0,289672.0,103047.0,2022139.0,367985.0,192917.0,42938.0,71921.0,886321.0,499590.0,70752.0,74849.0,688229.0,263566.0,137729.0,136686.0,163031.0,169088.0,57501.0,357522.0,435178.0,409240.0,317075.0,88298.0,269005.0,52310.0,100959.0,110524.0,70757.0,552392.0,70402.0,1066716.0,480498.0,36595.0,487467.0,146428.0,230864.0,591678.0,47598.0,203380.0,34623.0,278653.0,1327190.0,169257.0,31482.0,504184.0,415426.0,59337.0,268461.0,24659.0,132895.0
Population 45 to 64 years,1262604.0,182457.0,1737172.0,748433.0,9767911.0,1416632.0,995912.0,255557.0,144328.0,5605994.0,2696500.0,346284.0,421776.0,3259831.0,1705456.0,777033.0,699807.0,1160295.0,1147800.0,387328.0,1616472.0,1836022.0,2652172.0,1429744.0,745023.0,1567788.0,268450.0,458492.0,778871.0,396888.0,2423592.0,507784.0,5073259.0,2721818.0,170587.0,3057392.0,945507.0,1047191.0,3414791.0,287184.0,1328305.0,213739.0,1770960.0,6831743.0,630549.0,172893.0,2211614.0,1886384.0,482520.0,1543638.0,140738.0,841348.0
High school graduate or higher,1110068.0,171689.0,1510784.0,656017.0,7973974.0,1310289.0,912666.0,233923.0,131080.0,4989942.0,2390369.0,322993.0,383042.0,2923614.0,1537456.0,723175.0,643471.0,1015075.0,990303.0,364003.0,1479900.0,1683766.0,2443127.0,1347176.0,643533.0,1423845.0,255921.0,419062.0,670183.0,371635.0,2212373.0,438189.0,4447044.0,2435817.0,162829.0,2802254.0,838331.0,949148.0,3130336.0,256651.0,1180518.0,198583.0,1564388.0,5710859.0,577679.0,161544.0,1999003.0,1727064.0,424798.0,1436792.0,134005.0,704568.0
Bachelor's degree or higher,332863.0,55151.0,515055.0,165833.0,3214763.0,592914.0,388742.0,86700.0,69026.0,1694215.0,888060.0,113684.0,116368.0,1104866.0,440762.0,209693.0,231218.0,272822.0,264969.0,121713.0,655326.0,792522.0,769145.0,511605.0,164492.0,455524.0,84021.0,140843.0,193913.0,140684.0,974740.0,137513.0,1758672.0,866927.0,48905.0,858061.0,244387.0,343271.0,1042279.0,94673.0,374596.0,61967.0,492949.0,2035877.0,212879.0,63473.0,872686.0,661521.0,94707.0,458144.0,37792.0,246849.0
Population 65 years and over,854312.0,90588.0,1307241.0,524237.0,5834998.0,845378.0,629032.0,189638.0,87537.0,4498198.0,1523192.0,269470.0,288617.0,2045361.0,1084472.0,553575.0,477996.0,754559.0,742194.0,285978.0,959887.0,1172293.0,1766409.0,921491.0,486804.0,1057943.0,207909.0,312295.0,498219.0,253147.0,1475075.0,377730.0,3295968.0,1750935.0,120177.0,2043548.0,635222.0,767496.0,2388218.0,187155.0,935538.0,153799.0,1138965.0,3738727.0,365198.0,125201.0,1358336.0,1207685.0,367400.0,1019896.0,98789.0,679665.0
High school graduate or higher,715529.0,83758.0,1154497.0,436681.0,4730711.0,776130.0,545945.0,170145.0,75311.0,3868797.0,1286011.0,234011.0,263520.0,1776292.0,953985.0,503661.0,438484.0,614015.0,615017.0,256180.0,830428.0,1019120.0,1573916.0,842419.0,386944.0,927252.0,192170.0,285871.0,441087.0,230226.0,1260887.0,315439.0,2706856.0,1505881.0,105697.0,1786316.0,553951.0,706945.0,2097881.0,158039.0,800969.0,138600.0,944356.0,3011186.0,339731.0,114788.0,1162116.0,1105047.0,296722.0,926914.0,92821.0,403756.0
Bachelor's degree or higher,197953.0,27861.0,405406.0,107327.0,1883186.0,331298.0,215381.0,56389.0,39846.0,1314017.0,408083.0,85559.0,80885.0,562900.0,235394.0,130485.0,143932.0,156737.0,168430.0,91402.0,342229.0,415121.0,450271.0,274476.0,104972.0,254218.0,62865.0,79215.0,135789.0,87824.0,475538.0,119489.0,989246.0,475408.0,28588.0,482678.0,157441.0,249756.0,601555.0,54930.0,263191.0,38123.0,262766.0,1023220.0,117339.0,44987.0,450394.0,415801.0,63873.0,257750.0,30839.0,120371.0
